Exp,Date,Brine sample,Grab sample,Method,Dup,Dilution,Plate incubation days,Yeast CFU/plate or AFU/100 uL,Yeast CFU/mL or AFU/mL,Log Yeast CFU/mL or Log AFU/mL
1,14-Jun,D,A,FCM,A,0.09,,120,1333.333333,3.124938737
1,14-Jun,D,A,FCM,B,0.09,,108,1200,3.079181246
1,14-Jun,D,B,FCM,A,0.09,,112,1244.444444,3.094975513
1,14-Jun,D,B,FCM,B,0.09,,94,1044.444444,3.018885344
2,21-Jun,D,A,Plate,A,0.025,5,38,1520,3.181843588
2,21-Jun,D,A,Plate,B,0.025,5,16,640,2.806179974
2,21-Jun,D,B,Plate,A,0.025,5,29,1160,3.064457989
2,21-Jun,D,B,Plate,B,0.025,5,21,840,2.924279286
2,21-Jun,D,A,FCM,A,0.09,,117,1300,3.113943352
2,21-Jun,D,A,FCM,B,0.09,,102,1133.333333,3.054357662
2,21-Jun,D,B,FCM,A,0.09,,95,1055.555556,3.023481096
2,21-Jun,D,B,FCM,B,0.09,,114,1266.666667,3.102662342
3,5-Jul,D,A,Plate,A,0.025,5,21,840,2.924279286
3,5-Jul,D,A,Plate,B,0.025,5,21,840,2.924279286
3,5-Jul,D,B,Plate,A,0.025,5,19,760,2.880813592
3,5-Jul,D,B,Plate,B,0.025,5,15,600,2.77815125
3,5-Jul,D,A,FCM,A,0.09,,133,1477.777778,3.169609132
3,5-Jul,D,A,FCM,B,0.09,,126,1400,3.146128036
3,5-Jul,D,B,FCM,A,0.09,,108,1200,3.079181246
3,5-Jul,D,B,FCM,B,0.09,,89,988.8888889,2.995147497
1,14-Jun,E,A,Plate,A,1,5,156,156,2.193124598
1,14-Jun,E,A,Plate,B,1,5,172,172,2.235528447
1,14-Jun,E,B,Plate,A,1,5,133,133,2.123851641
1,14-Jun,E,B,Plate,B,1,5,157,157,2.195899652
1,14-Jun,E,A,FCM,A,0.09,,10,111.1111111,2.045757491
1,14-Jun,E,A,FCM,B,0.09,,10,111.1111111,2.045757491
1,14-Jun,E,B,FCM,A,0.09,,15,166.6666667,2.22184875
1,14-Jun,E,B,FCM,B,0.09,,10,111.1111111,2.045757491
2,21-Jun,E,A,Plate,A,1,5,63,63,1.799340549
2,21-Jun,E,A,Plate,B,1,5,144,144,2.158362492
2,21-Jun,E,B,Plate,A,1,5,95,95,1.977723605
2,21-Jun,E,B,Plate,B,1,5,132,132,2.120573931
2,21-Jun,E,A,FCM,A,0.09,,21,233.3333333,2.367976785
2,21-Jun,E,A,FCM,B,0.09,,8,88.88888889,1.948847478
2,21-Jun,E,B,FCM,A,0.09,,8,88.88888889,1.948847478
2,21-Jun,E,B,FCM,B,0.09,,16,177.7777778,2.249877473
3,5-Jul,E,A,Plate,A,1,5,58,58,1.763427994
3,5-Jul,E,A,Plate,B,1,5,41,41,1.612783857
3,5-Jul,E,B,Plate,A,1,5,71,71,1.851258349
3,5-Jul,E,B,Plate,B,1,5,54,54,1.73239376
3,5-Jul,E,A,FCM,A,0.09,,20,222.2222222,2.346787486
3,5-Jul,E,A,FCM,B,0.09,,6,66.66666667,1.823908741
3,5-Jul,E,B,FCM,A,0.09,,8,88.88888889,1.948847478
3,5-Jul,E,B,FCM,B,0.09,,7,77.77777778,1.890855531
